#{"t_start": 1584991326.8030136, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-92.488164,21000,46.815683,"{'left': {'oppo_miss_start': 98, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 100, 'oppo_slow_ball': 1, 'oppo_miss_catch': 18, 'oppo_double_hit': 0}}"
-95.468616,22000,49.07807,"{'left': {'oppo_miss_start': 100, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 102, 'oppo_slow_ball': 1, 'oppo_miss_catch': 19, 'oppo_double_hit': 0}}"
-101.468616,23000,51.377921,"{'left': {'oppo_miss_start': 105, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 107, 'oppo_slow_ball': 1, 'oppo_miss_catch': 20, 'oppo_double_hit': 0}}"
-104.457576,24000,53.745776,"{'left': {'oppo_miss_start': 107, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 108, 'oppo_slow_ball': 1, 'oppo_miss_catch': 22, 'oppo_double_hit': 0}}"
-108.447968,25000,55.970406,"{'left': {'oppo_miss_start': 113, 'oppo_slow_ball': 0, 'oppo_miss_catch': 28, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 114, 'oppo_slow_ball': 1, 'oppo_miss_catch': 22, 'oppo_double_hit': 0}}"
-112.436467,26000,58.20533,"{'left': {'oppo_miss_start': 117, 'oppo_slow_ball': 0, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 118, 'oppo_slow_ball': 1, 'oppo_miss_catch': 23, 'oppo_double_hit': 0}}"
-120.424112,27000,60.729298,"{'left': {'oppo_miss_start': 126, 'oppo_slow_ball': 0, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 127, 'oppo_slow_ball': 1, 'oppo_miss_catch': 23, 'oppo_double_hit': 0}}"
-126.393845,28000,62.916443,"{'left': {'oppo_miss_start': 131, 'oppo_slow_ball': 0, 'oppo_miss_catch': 31, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 133, 'oppo_slow_ball': 1, 'oppo_miss_catch': 24, 'oppo_double_hit': 0}}"
-128.37277,29000,65.131287,"{'left': {'oppo_miss_start': 134, 'oppo_slow_ball': 0, 'oppo_miss_catch': 33, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 136, 'oppo_slow_ball': 1, 'oppo_miss_catch': 25, 'oppo_double_hit': 0}}"
-136.345454,30000,67.280902,"{'left': {'oppo_miss_start': 141, 'oppo_slow_ball': 0, 'oppo_miss_catch': 34, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 144, 'oppo_slow_ball': 1, 'oppo_miss_catch': 26, 'oppo_double_hit': 0}}"
-140.322044,31000,69.532118,"{'left': {'oppo_miss_start': 144, 'oppo_slow_ball': 0, 'oppo_miss_catch': 35, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 147, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
