#{"t_start": 1584991346.8195596, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-2.980911,1000,5.479881,"{'left': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 5, 'oppo_slow_ball': 0, 'oppo_miss_catch': 0, 'oppo_double_hit': 0}}"
-1.961911,2000,8.354223,"{'left': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 5, 'oppo_slow_ball': 0, 'oppo_miss_catch': 0, 'oppo_double_hit': 0}}"
-3.91874,3000,10.36246,"{'left': {'oppo_miss_start': 9, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 7, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-9.912251,4000,12.429543,"{'left': {'oppo_miss_start': 15, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 13, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-14.912251,5000,14.486603,"{'left': {'oppo_miss_start': 21, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 19, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-20.890057,6000,16.466179,"{'left': {'oppo_miss_start': 27, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 26, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-27.890057,7000,18.505791,"{'left': {'oppo_miss_start': 33, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 33, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-33.869342,8000,20.595321,"{'left': {'oppo_miss_start': 38, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 37, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0}}"
-39.834383,9000,22.620282,"{'left': {'oppo_miss_start': 44, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 43, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0}}"
-41.814563,10000,24.778672,"{'left': {'oppo_miss_start': 46, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 46, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0}}"
-49.774576,11000,26.900946,"{'left': {'oppo_miss_start': 55, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 53, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 0}}"
-58.770465,12000,29.013263,"{'left': {'oppo_miss_start': 64, 'oppo_slow_ball': 0, 'oppo_miss_catch': 14, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 62, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 1}}"
-68.770465,13000,31.340383,"{'left': {'oppo_miss_start': 74, 'oppo_slow_ball': 0, 'oppo_miss_catch': 14, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 72, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 1}}"
-73.725039,14000,33.713215,"{'left': {'oppo_miss_start': 80, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 77, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 1}}"
-81.706431,15000,35.941182,"{'left': {'oppo_miss_start': 89, 'oppo_slow_ball': 0, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 86, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 1}}"
-87.679685,16000,38.16057,"{'left': {'oppo_miss_start': 96, 'oppo_slow_ball': 0, 'oppo_miss_catch': 18, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 94, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 1}}"
-95.679685,17000,40.695834,"{'left': {'oppo_miss_start': 102, 'oppo_slow_ball': 0, 'oppo_miss_catch': 18, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 100, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 1}}"
-102.629961,18000,42.886866,"{'left': {'oppo_miss_start': 111, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 108, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 1}}"
-107.629961,19000,45.095842,"{'left': {'oppo_miss_start': 116, 'oppo_slow_ball': 0, 'oppo_miss_catch': 20, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 114, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 1}}"
-111.629961,20000,47.246083,"{'left': {'oppo_miss_start': 118, 'oppo_slow_ball': 0, 'oppo_miss_catch': 20, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 116, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 1}}"
-117.610028,21000,49.507006,"{'left': {'oppo_miss_start': 125, 'oppo_slow_ball': 0, 'oppo_miss_catch': 21, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 124, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 1}}"
-120.571754,22000,51.689582,"{'left': {'oppo_miss_start': 128, 'oppo_slow_ball': 0, 'oppo_miss_catch': 22, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 126, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 1}}"
-122.541618,23000,53.869231,"{'left': {'oppo_miss_start': 132, 'oppo_slow_ball': 0, 'oppo_miss_catch': 24, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 130, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 1}}"
-125.495593,24000,56.127266,"{'left': {'oppo_miss_start': 136, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 134, 'oppo_slow_ball': 0, 'oppo_miss_catch': 18, 'oppo_double_hit': 1}}"
