#{"t_start": 1573703793.449932, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-4.982173,1000,9.317891,"{'left': {'oppo_miss_start': 5, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 4, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-13.982173,2000,15.843659,"{'left': {'oppo_miss_start': 12, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 12, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0}}"
-21.962125,3000,18.268489,"{'left': {'oppo_miss_start': 21, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 20, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0}}"
-33.962125,4000,20.72416,"{'left': {'oppo_miss_start': 30, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 30, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0}}"
-42.943972,5000,23.19102,"{'left': {'oppo_miss_start': 36, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 35, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0}}"
-49.943972,6000,25.620884,"{'left': {'oppo_miss_start': 41, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 41, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0}}"
-58.943972,7000,28.24985,"{'left': {'oppo_miss_start': 49, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 49, 'oppo_slow_ball': 0, 'oppo_miss_catch': 14, 'oppo_double_hit': 0}}"
-60.943972,8000,30.758592,"{'left': {'oppo_miss_start': 50, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 50, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0}}"
-64.935489,9000,33.23192,"{'left': {'oppo_miss_start': 55, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 55, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0}}"
-67.925681,10000,35.681796,"{'left': {'oppo_miss_start': 58, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 57, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 0}}"
