#{"t_start": 1573703793.0821815, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-134.554262,21000,63.02605,"{'left': {'oppo_miss_start': 121, 'oppo_slow_ball': 1, 'oppo_miss_catch': 20, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 124, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0}}"
-142.537148,22000,65.459401,"{'left': {'oppo_miss_start': 128, 'oppo_slow_ball': 1, 'oppo_miss_catch': 21, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 132, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0}}"
-153.537148,23000,67.909283,"{'left': {'oppo_miss_start': 135, 'oppo_slow_ball': 1, 'oppo_miss_catch': 21, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 139, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 0}}"
-158.505168,24000,70.389003,"{'left': {'oppo_miss_start': 141, 'oppo_slow_ball': 1, 'oppo_miss_catch': 23, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 146, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 0}}"
-164.459647,25000,72.882323,"{'left': {'oppo_miss_start': 148, 'oppo_slow_ball': 1, 'oppo_miss_catch': 25, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 153, 'oppo_slow_ball': 1, 'oppo_miss_catch': 37, 'oppo_double_hit': 0}}"
-168.427488,26000,75.322217,"{'left': {'oppo_miss_start': 152, 'oppo_slow_ball': 1, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 157, 'oppo_slow_ball': 1, 'oppo_miss_catch': 39, 'oppo_double_hit': 0}}"
-177.409138,27000,77.87984,"{'left': {'oppo_miss_start': 159, 'oppo_slow_ball': 1, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 164, 'oppo_slow_ball': 1, 'oppo_miss_catch': 41, 'oppo_double_hit': 0}}"
-182.385764,28000,80.399334,"{'left': {'oppo_miss_start': 163, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 168, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-189.365162,29000,82.918882,"{'left': {'oppo_miss_start': 169, 'oppo_slow_ball': 1, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 176, 'oppo_slow_ball': 1, 'oppo_miss_catch': 44, 'oppo_double_hit': 0}}"
-200.365162,30000,85.404058,"{'left': {'oppo_miss_start': 179, 'oppo_slow_ball': 1, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 186, 'oppo_slow_ball': 1, 'oppo_miss_catch': 45, 'oppo_double_hit': 0}}"
-207.34756,31000,87.947712,"{'left': {'oppo_miss_start': 187, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 194, 'oppo_slow_ball': 1, 'oppo_miss_catch': 45, 'oppo_double_hit': 0}}"
-212.298131,32000,90.452639,"{'left': {'oppo_miss_start': 193, 'oppo_slow_ball': 1, 'oppo_miss_catch': 33, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 201, 'oppo_slow_ball': 1, 'oppo_miss_catch': 45, 'oppo_double_hit': 0}}"
-219.261538,33000,92.980606,"{'left': {'oppo_miss_start': 199, 'oppo_slow_ball': 1, 'oppo_miss_catch': 34, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 208, 'oppo_slow_ball': 1, 'oppo_miss_catch': 46, 'oppo_double_hit': 0}}"
-223.232587,34000,95.438312,"{'left': {'oppo_miss_start': 205, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 214, 'oppo_slow_ball': 1, 'oppo_miss_catch': 46, 'oppo_double_hit': 0}}"
-229.188737,35000,97.893329,"{'left': {'oppo_miss_start': 211, 'oppo_slow_ball': 1, 'oppo_miss_catch': 38, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 221, 'oppo_slow_ball': 1, 'oppo_miss_catch': 47, 'oppo_double_hit': 0}}"
-237.100537,36000,100.357692,"{'left': {'oppo_miss_start': 216, 'oppo_slow_ball': 1, 'oppo_miss_catch': 40, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 228, 'oppo_slow_ball': 1, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-241.072014,37000,102.811693,"{'left': {'oppo_miss_start': 221, 'oppo_slow_ball': 1, 'oppo_miss_catch': 42, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 233, 'oppo_slow_ball': 1, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-249.052296,38000,105.310499,"{'left': {'oppo_miss_start': 229, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 241, 'oppo_slow_ball': 1, 'oppo_miss_catch': 52, 'oppo_double_hit': 0}}"
-256.041984,39000,107.802935,"{'left': {'oppo_miss_start': 235, 'oppo_slow_ball': 1, 'oppo_miss_catch': 44, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 248, 'oppo_slow_ball': 1, 'oppo_miss_catch': 53, 'oppo_double_hit': 0}}"
-262.029696,40000,110.320128,"{'left': {'oppo_miss_start': 240, 'oppo_slow_ball': 1, 'oppo_miss_catch': 45, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 254, 'oppo_slow_ball': 1, 'oppo_miss_catch': 54, 'oppo_double_hit': 0}}"
-267.023802,41000,112.804376,"{'left': {'oppo_miss_start': 246, 'oppo_slow_ball': 1, 'oppo_miss_catch': 45, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 259, 'oppo_slow_ball': 1, 'oppo_miss_catch': 54, 'oppo_double_hit': 0}}"
-273.995665,42000,115.298,"{'left': {'oppo_miss_start': 253, 'oppo_slow_ball': 1, 'oppo_miss_catch': 47, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 267, 'oppo_slow_ball': 1, 'oppo_miss_catch': 55, 'oppo_double_hit': 0}}"
-281.962762,43000,117.807952,"{'left': {'oppo_miss_start': 260, 'oppo_slow_ball': 1, 'oppo_miss_catch': 48, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 274, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0}}"
-289.950162,44000,120.330431,"{'left': {'oppo_miss_start': 266, 'oppo_slow_ball': 1, 'oppo_miss_catch': 49, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 281, 'oppo_slow_ball': 1, 'oppo_miss_catch': 59, 'oppo_double_hit': 0}}"
-294.929112,45000,122.849929,"{'left': {'oppo_miss_start': 271, 'oppo_slow_ball': 1, 'oppo_miss_catch': 50, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 285, 'oppo_slow_ball': 1, 'oppo_miss_catch': 61, 'oppo_double_hit': 0}}"
-296.911795,46000,125.345512,"{'left': {'oppo_miss_start': 274, 'oppo_slow_ball': 1, 'oppo_miss_catch': 52, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 287, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 0}}"
