#{"t_start": 1573703805.444409, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-4.966319,1000,6.433643,"{'left': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0}}"
-9.922585,2000,11.513359,"{'left': {'oppo_miss_start': 12, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 12, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-18.896398,3000,13.861677,"{'left': {'oppo_miss_start': 21, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 21, 'oppo_slow_ball': 0, 'oppo_miss_catch': 3, 'oppo_double_hit': 0}}"
-29.896398,4000,16.415912,"{'left': {'oppo_miss_start': 29, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 30, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0}}"
-37.871617,5000,18.926796,"{'left': {'oppo_miss_start': 35, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 36, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0}}"
-45.857623,6000,21.394885,"{'left': {'oppo_miss_start': 41, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 42, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0}}"
-48.857623,7000,23.792761,"{'left': {'oppo_miss_start': 43, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 45, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0}}"
-56.841528,8000,26.270106,"{'left': {'oppo_miss_start': 51, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 53, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0}}"
-66.841528,9000,28.749263,"{'left': {'oppo_miss_start': 58, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 60, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0}}"
-76.841528,10000,31.169848,"{'left': {'oppo_miss_start': 66, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 68, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 0}}"
-85.82037,11000,33.606651,"{'left': {'oppo_miss_start': 74, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 76, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0}}"
-91.814105,12000,36.081721,"{'left': {'oppo_miss_start': 81, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 83, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0}}"
-91.698042,13000,38.548183,"{'left': {'oppo_miss_start': 85, 'oppo_slow_ball': 0, 'oppo_miss_catch': 14, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 87, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0}}"
-97.687448,14000,41.032662,"{'left': {'oppo_miss_start': 92, 'oppo_slow_ball': 0, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 95, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0}}"
-102.682491,15000,43.492022,"{'left': {'oppo_miss_start': 97, 'oppo_slow_ball': 0, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 98, 'oppo_slow_ball': 0, 'oppo_miss_catch': 21, 'oppo_double_hit': 0}}"
-112.659953,16000,45.945911,"{'left': {'oppo_miss_start': 105, 'oppo_slow_ball': 0, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 106, 'oppo_slow_ball': 0, 'oppo_miss_catch': 23, 'oppo_double_hit': 0}}"
-118.609655,17000,48.477116,"{'left': {'oppo_miss_start': 109, 'oppo_slow_ball': 0, 'oppo_miss_catch': 16, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 108, 'oppo_slow_ball': 0, 'oppo_miss_catch': 27, 'oppo_double_hit': 0}}"
-120.582993,18000,50.932528,"{'left': {'oppo_miss_start': 112, 'oppo_slow_ball': 0, 'oppo_miss_catch': 18, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 111, 'oppo_slow_ball': 0, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
-123.553611,19000,53.392586,"{'left': {'oppo_miss_start': 116, 'oppo_slow_ball': 0, 'oppo_miss_catch': 20, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 116, 'oppo_slow_ball': 0, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
-134.553611,20000,55.817622,"{'left': {'oppo_miss_start': 125, 'oppo_slow_ball': 0, 'oppo_miss_catch': 20, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 125, 'oppo_slow_ball': 0, 'oppo_miss_catch': 30, 'oppo_double_hit': 0}}"
-142.529549,21000,58.260566,"{'left': {'oppo_miss_start': 131, 'oppo_slow_ball': 0, 'oppo_miss_catch': 21, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 131, 'oppo_slow_ball': 0, 'oppo_miss_catch': 33, 'oppo_double_hit': 0}}"
-145.507441,22000,60.734659,"{'left': {'oppo_miss_start': 136, 'oppo_slow_ball': 0, 'oppo_miss_catch': 23, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 136, 'oppo_slow_ball': 0, 'oppo_miss_catch': 33, 'oppo_double_hit': 0}}"
-151.450767,23000,63.168456,"{'left': {'oppo_miss_start': 142, 'oppo_slow_ball': 0, 'oppo_miss_catch': 24, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 141, 'oppo_slow_ball': 0, 'oppo_miss_catch': 35, 'oppo_double_hit': 0}}"
-156.423607,24000,65.641002,"{'left': {'oppo_miss_start': 147, 'oppo_slow_ball': 0, 'oppo_miss_catch': 25, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 146, 'oppo_slow_ball': 0, 'oppo_miss_catch': 36, 'oppo_double_hit': 0}}"
-155.42107,25000,68.12631,"{'left': {'oppo_miss_start': 147, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 146, 'oppo_slow_ball': 0, 'oppo_miss_catch': 36, 'oppo_double_hit': 0}}"
-161.389618,26000,70.621346,"{'left': {'oppo_miss_start': 153, 'oppo_slow_ball': 0, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 151, 'oppo_slow_ball': 0, 'oppo_miss_catch': 38, 'oppo_double_hit': 0}}"
-164.384166,27000,73.105069,"{'left': {'oppo_miss_start': 157, 'oppo_slow_ball': 0, 'oppo_miss_catch': 28, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 154, 'oppo_slow_ball': 0, 'oppo_miss_catch': 39, 'oppo_double_hit': 0}}"
-169.368281,28000,75.566197,"{'left': {'oppo_miss_start': 160, 'oppo_slow_ball': 0, 'oppo_miss_catch': 28, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 156, 'oppo_slow_ball': 0, 'oppo_miss_catch': 42, 'oppo_double_hit': 0}}"
-172.351446,29000,78.077348,"{'left': {'oppo_miss_start': 163, 'oppo_slow_ball': 0, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 160, 'oppo_slow_ball': 0, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-182.325447,30000,80.634631,"{'left': {'oppo_miss_start': 168, 'oppo_slow_ball': 0, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 165, 'oppo_slow_ball': 0, 'oppo_miss_catch': 48, 'oppo_double_hit': 0}}"
-183.254946,31000,83.08569,"{'left': {'oppo_miss_start': 171, 'oppo_slow_ball': 0, 'oppo_miss_catch': 32, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 168, 'oppo_slow_ball': 0, 'oppo_miss_catch': 48, 'oppo_double_hit': 0}}"
-183.25048,32000,85.600036,"{'left': {'oppo_miss_start': 172, 'oppo_slow_ball': 0, 'oppo_miss_catch': 33, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 169, 'oppo_slow_ball': 0, 'oppo_miss_catch': 48, 'oppo_double_hit': 0}}"
-192.25048,33000,88.024878,"{'left': {'oppo_miss_start': 180, 'oppo_slow_ball': 0, 'oppo_miss_catch': 34, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 177, 'oppo_slow_ball': 0, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-193.180699,34000,90.488148,"{'left': {'oppo_miss_start': 184, 'oppo_slow_ball': 0, 'oppo_miss_catch': 37, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 181, 'oppo_slow_ball': 0, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-193.118553,35000,92.969051,"{'left': {'oppo_miss_start': 188, 'oppo_slow_ball': 0, 'oppo_miss_catch': 41, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 185, 'oppo_slow_ball': 0, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-195.063579,36000,95.449531,"{'left': {'oppo_miss_start': 192, 'oppo_slow_ball': 0, 'oppo_miss_catch': 43, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 189, 'oppo_slow_ball': 0, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-195.041116,37000,97.950072,"{'left': {'oppo_miss_start': 193, 'oppo_slow_ball': 0, 'oppo_miss_catch': 44, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 189, 'oppo_slow_ball': 1, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-200.945093,38000,100.46579,"{'left': {'oppo_miss_start': 199, 'oppo_slow_ball': 0, 'oppo_miss_catch': 46, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 195, 'oppo_slow_ball': 1, 'oppo_miss_catch': 52, 'oppo_double_hit': 0}}"
-203.940652,39000,102.955597,"{'left': {'oppo_miss_start': 201, 'oppo_slow_ball': 0, 'oppo_miss_catch': 47, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 197, 'oppo_slow_ball': 1, 'oppo_miss_catch': 54, 'oppo_double_hit': 0}}"
-209.901399,40000,105.466378,"{'left': {'oppo_miss_start': 207, 'oppo_slow_ball': 0, 'oppo_miss_catch': 49, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 204, 'oppo_slow_ball': 1, 'oppo_miss_catch': 55, 'oppo_double_hit': 0}}"
-217.891923,41000,107.980694,"{'left': {'oppo_miss_start': 214, 'oppo_slow_ball': 0, 'oppo_miss_catch': 49, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 210, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0}}"
-227.891923,42000,110.419823,"{'left': {'oppo_miss_start': 223, 'oppo_slow_ball': 0, 'oppo_miss_catch': 50, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 220, 'oppo_slow_ball': 1, 'oppo_miss_catch': 58, 'oppo_double_hit': 0}}"
-237.891923,43000,112.955583,"{'left': {'oppo_miss_start': 232, 'oppo_slow_ball': 0, 'oppo_miss_catch': 50, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 228, 'oppo_slow_ball': 1, 'oppo_miss_catch': 60, 'oppo_double_hit': 0}}"
-240.862982,44000,115.415368,"{'left': {'oppo_miss_start': 235, 'oppo_slow_ball': 0, 'oppo_miss_catch': 52, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 231, 'oppo_slow_ball': 1, 'oppo_miss_catch': 62, 'oppo_double_hit': 0}}"
-245.849369,45000,117.919185,"{'left': {'oppo_miss_start': 241, 'oppo_slow_ball': 0, 'oppo_miss_catch': 53, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 235, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 1}}"
-253.828916,46000,120.40294,"{'left': {'oppo_miss_start': 248, 'oppo_slow_ball': 0, 'oppo_miss_catch': 54, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 243, 'oppo_slow_ball': 1, 'oppo_miss_catch': 64, 'oppo_double_hit': 1}}"
-261.812536,47000,122.948134,"{'left': {'oppo_miss_start': 255, 'oppo_slow_ball': 0, 'oppo_miss_catch': 55, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 250, 'oppo_slow_ball': 1, 'oppo_miss_catch': 66, 'oppo_double_hit': 1}}"
-263.789449,48000,125.492939,"{'left': {'oppo_miss_start': 259, 'oppo_slow_ball': 0, 'oppo_miss_catch': 56, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 252, 'oppo_slow_ball': 1, 'oppo_miss_catch': 67, 'oppo_double_hit': 1}}"
-265.7708,49000,127.977857,"{'left': {'oppo_miss_start': 261, 'oppo_slow_ball': 0, 'oppo_miss_catch': 56, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 253, 'oppo_slow_ball': 1, 'oppo_miss_catch': 68, 'oppo_double_hit': 1}}"
-269.757298,50000,130.465855,"{'left': {'oppo_miss_start': 264, 'oppo_slow_ball': 0, 'oppo_miss_catch': 58, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 256, 'oppo_slow_ball': 1, 'oppo_miss_catch': 71, 'oppo_double_hit': 1}}"
-278.750382,51000,132.996725,"{'left': {'oppo_miss_start': 271, 'oppo_slow_ball': 0, 'oppo_miss_catch': 58, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 263, 'oppo_slow_ball': 1, 'oppo_miss_catch': 73, 'oppo_double_hit': 1}}"
-285.742544,52000,135.494041,"{'left': {'oppo_miss_start': 275, 'oppo_slow_ball': 0, 'oppo_miss_catch': 59, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 268, 'oppo_slow_ball': 1, 'oppo_miss_catch': 75, 'oppo_double_hit': 2}}"
-296.742544,53000,137.999466,"{'left': {'oppo_miss_start': 284, 'oppo_slow_ball': 0, 'oppo_miss_catch': 59, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 276, 'oppo_slow_ball': 1, 'oppo_miss_catch': 78, 'oppo_double_hit': 2}}"
