#{"t_start": 1573661303.086619, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-6.939136,1000,17.289236,"{'left': {'oppo_miss_start': 7, 'oppo_slow_ball': 0, 'oppo_miss_catch': 1, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 6, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0}}"
-14.910872,2000,20.145352,"{'left': {'oppo_miss_start': 14, 'oppo_slow_ball': 0, 'oppo_miss_catch': 2, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 13, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0}}"
-20.867618,3000,21.52043,"{'left': {'oppo_miss_start': 19, 'oppo_slow_ball': 0, 'oppo_miss_catch': 4, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 20, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0}}"
-24.863488,4000,22.821957,"{'left': {'oppo_miss_start': 23, 'oppo_slow_ball': 0, 'oppo_miss_catch': 5, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 24, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0}}"
-32.800487,5000,24.140639,"{'left': {'oppo_miss_start': 31, 'oppo_slow_ball': 0, 'oppo_miss_catch': 6, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 31, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0}}"
-41.800487,6000,25.381289,"{'left': {'oppo_miss_start': 40, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 41, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0}}"
-51.793735,7000,26.704798,"{'left': {'oppo_miss_start': 48, 'oppo_slow_ball': 0, 'oppo_miss_catch': 7, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 48, 'oppo_slow_ball': 0, 'oppo_miss_catch': 11, 'oppo_double_hit': 0}}"
-58.793735,8000,27.914794,"{'left': {'oppo_miss_start': 53, 'oppo_slow_ball': 0, 'oppo_miss_catch': 8, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 54, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0}}"
-67.768639,9000,29.100997,"{'left': {'oppo_miss_start': 60, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 60, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 0}}"
-76.738728,10000,30.374685,"{'left': {'oppo_miss_start': 67, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 67, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0}}"
-87.738728,11000,31.589062,"{'left': {'oppo_miss_start': 76, 'oppo_slow_ball': 0, 'oppo_miss_catch': 9, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 76, 'oppo_slow_ball': 0, 'oppo_miss_catch': 21, 'oppo_double_hit': 0}}"
-90.726091,12000,32.75818,"{'left': {'oppo_miss_start': 81, 'oppo_slow_ball': 0, 'oppo_miss_catch': 10, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 80, 'oppo_slow_ball': 0, 'oppo_miss_catch': 21, 'oppo_double_hit': 0}}"
-95.698947,13000,33.952618,"{'left': {'oppo_miss_start': 87, 'oppo_slow_ball': 0, 'oppo_miss_catch': 12, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 86, 'oppo_slow_ball': 0, 'oppo_miss_catch': 22, 'oppo_double_hit': 0}}"
-103.673629,14000,35.190897,"{'left': {'oppo_miss_start': 95, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 95, 'oppo_slow_ball': 0, 'oppo_miss_catch': 22, 'oppo_double_hit': 0}}"
-112.673184,15000,36.460832,"{'left': {'oppo_miss_start': 101, 'oppo_slow_ball': 0, 'oppo_miss_catch': 13, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 101, 'oppo_slow_ball': 0, 'oppo_miss_catch': 24, 'oppo_double_hit': 1}}"
-116.642507,16000,37.902796,"{'left': {'oppo_miss_start': 106, 'oppo_slow_ball': 0, 'oppo_miss_catch': 15, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 105, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 1}}"
-122.599301,17000,39.322157,"{'left': {'oppo_miss_start': 113, 'oppo_slow_ball': 0, 'oppo_miss_catch': 17, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 113, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 1}}"
-127.563982,18000,40.771634,"{'left': {'oppo_miss_start': 120, 'oppo_slow_ball': 0, 'oppo_miss_catch': 19, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 120, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 1}}"
-126.520126,19000,42.059967,"{'left': {'oppo_miss_start': 123, 'oppo_slow_ball': 0, 'oppo_miss_catch': 22, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 122, 'oppo_slow_ball': 0, 'oppo_miss_catch': 26, 'oppo_double_hit': 1}}"
-129.458115,20000,43.429072,"{'left': {'oppo_miss_start': 128, 'oppo_slow_ball': 0, 'oppo_miss_catch': 25, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 127, 'oppo_slow_ball': 0, 'oppo_miss_catch': 27, 'oppo_double_hit': 1}}"
-134.3978,21000,44.671052,"{'left': {'oppo_miss_start': 134, 'oppo_slow_ball': 0, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 133, 'oppo_slow_ball': 0, 'oppo_miss_catch': 28, 'oppo_double_hit': 1}}"
-145.3978,22000,46.122301,"{'left': {'oppo_miss_start': 141, 'oppo_slow_ball': 0, 'oppo_miss_catch': 27, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 141, 'oppo_slow_ball': 0, 'oppo_miss_catch': 31, 'oppo_double_hit': 1}}"
